source,formula,best_site_co_affinity,mean_co_affinity,frac_co_selective_sites,mean_cooh_affinity,co2rr_selectivity,metal_mixing_entropy,n_metal_species,expensive_metal_fraction,carbon_fraction,metal_percolation_dim
w2p5/chunk_1/gen_34.cif,Ce2Y2WC6,-0.2,-0.5667,0.0,-0.1833,-0.1,1.055,3,0.0,0.545,1.0
w2p5/chunk_3/gen_57.cif,NdY2WC6,-0.2,-0.5667,0.0,-0.1833,-0.1,1.04,3,0.0,0.6,nan
w2p5/chunk_3/gen_72.cif,Y2TiWC6,-0.2,-0.5625,0.0,-0.175,-0.1,1.04,3,0.0,0.6,nan
w2p5/chunk_3/gen_117.cif,Y3Sc(WC3)2,-0.2,-0.5583,0.0,-0.175,-0.1,1.011,3,0.0,0.5,2.0
w1p0/chunk_0/gen_84.cif,La3Y5(WC3)3,-0.2,-0.5437,0.0,-0.1625,-0.1,1.067,3,0.0,0.45,1.0
w2p5/chunk_1/gen_51.cif,La4Y5W3C8,-0.2,-0.5437,0.0,-0.1625,-0.1,1.078,3,0.0,0.4,1.0
w1p0/chunk_2/gen_13.cif,Y3Zr(WC3)2,-0.2,-0.5417,0.0,-0.1583,-0.1,1.011,3,0.0,0.5,nan
w1p0/chunk_1/gen_81.cif,Y3Zr(WC3)2,-0.2,-0.5417,0.0,-0.1583,-0.1,1.011,3,0.0,0.5,nan
w2p5/chunk_0/gen_85.cif,LaCeY3HfW2C7,-0.2,-0.5417,0.0,-0.1583,-0.1,1.494,5,0.0,0.467,1.0
w2p5/chunk_0/gen_113.cif,LaY3Ti2W2C7,-0.2,-0.5357,0.0,-0.15,-0.1,1.321,4,0.0,0.467,1.0
w2p5/chunk_1/gen_60.cif,CeY3(WC3)2,-0.2,-0.53,0.0,-0.15,-0.1,1.011,3,0.0,0.5,nan
w2p5/chunk_1/gen_114.cif,Ce2Y3W2C9,-0.2,-0.53,0.0,-0.15,-0.1,1.079,3,0.0,0.562,nan
w2p5/chunk_1/gen_28.cif,CeY3Ti2(WC3)2,-0.2,-0.5357,0.0,-0.15,-0.1,1.321,4,0.0,0.429,3.0
w2p5/chunk_3/gen_59.cif,CeNdY3W2C7,-0.2,-0.53,0.0,-0.15,-0.1,1.277,4,0.0,0.5,0.0
w2p5/chunk_3/gen_16.cif,Y3Ti(WC3)2,-0.2,-0.5333,0.0,-0.15,-0.1,1.011,3,0.0,0.5,2.0
w2p5/chunk_3/gen_63.cif,Pr2Nd3Y3(WC5)2,-0.2,-0.53,0.0,-0.15,-0.1,1.366,4,0.0,0.5,nan
w2p5/chunk_3/gen_67.cif,CeY3(WC3)2,-0.2,-0.53,0.0,-0.15,-0.1,1.011,3,0.0,0.5,2.0
w1p0/chunk_0/gen_66.cif,Zr2ScWC4,-0.2,-0.525,0.0,-0.1375,-0.1,1.04,3,0.0,0.5,nan
w1p0/chunk_2/gen_88.cif,HfZrScWC4,-0.2,-0.525,0.0,-0.1375,-0.1,1.386,4,0.0,0.5,nan
w1p0/chunk_0/gen_30.cif,Pr4Y4(WC3)3,-0.2,-0.5143,0.0,-0.1357,-0.1,1.09,3,0.0,0.45,0.0
w1p0/chunk_0/gen_95.cif,CeYZrWC6,-0.2,-0.5167,0.0,-0.1333,-0.1,1.386,4,0.0,0.6,nan
w1p0/chunk_2/gen_37.cif,YZrWC3,-0.2,-0.5167,0.0,-0.1333,-0.1,1.099,3,0.0,0.5,2.0
w1p0/chunk_2/gen_124.cif,YZrWC3,-0.2,-0.5167,0.0,-0.1333,-0.1,1.099,3,0.0,0.5,2.0
w1p0/chunk_3/gen_62.cif,YZrWC3,-0.2,-0.5167,0.0,-0.1333,-0.1,1.099,3,0.0,0.5,2.0
w2p5/chunk_0/gen_89.cif,CeYZrWC5,-0.2,-0.5167,0.0,-0.1333,-0.1,1.386,4,0.0,0.556,nan
w2p5/chunk_2/gen_45.cif,YZrWC3,-0.2,-0.5167,0.0,-0.1333,-0.1,1.099,3,0.0,0.5,nan
w2p5/chunk_2/gen_40.cif,YZrWC3,-0.2,-0.5167,0.0,-0.1333,-0.1,1.099,3,0.0,0.5,2.0
w2p5/chunk_1/gen_122.cif,Nd2YZrWC5,-0.2,-0.5167,0.0,-0.1333,-0.1,1.332,4,0.0,0.5,0.0
w2p5/chunk_1/gen_62.cif,YZrWC3,-0.2,-0.5167,0.0,-0.1333,-0.1,1.099,3,0.0,0.5,2.0
w2p5/chunk_1/gen_4.cif,YZrWC3,-0.2,-0.5167,0.0,-0.1333,-0.1,1.099,3,0.0,0.5,0.0
w2p5/chunk_3/gen_18.cif,YTi2WC5,-0.2,-0.5125,0.0,-0.125,-0.1,1.04,3,0.0,0.556,3.0
w2p5/chunk_3/gen_108.cif,Nd2Y2ZrW2C7,-0.2,-0.5,0.0,-0.12,-0.1,1.352,4,0.0,0.5,3.0
w2p5/chunk_0/gen_61.cif,YTiWC3,-0.2,-0.5,0.0,-0.1167,-0.1,1.099,3,0.0,0.5,0.0
w2p5/chunk_1/gen_10.cif,LaYTiWC6,-0.2,-0.5,0.0,-0.1167,-0.1,1.386,4,0.0,0.6,2.0
w2p5/chunk_0/gen_97.cif,HfZr2WC6,-0.2,-0.5,0.0,-0.1125,-0.1,1.04,3,0.0,0.6,nan
w1p0/chunk_2/gen_126.cif,YZr3(WC3)2,-0.2,-0.4917,0.0,-0.1083,-0.1,1.011,3,0.0,0.5,3.0
w2p5/chunk_0/gen_51.cif,Y3TiAlW3C7,-0.2,-0.4857,0.0,-0.1071,-0.1,1.255,4,0.0,0.467,3.0
w2p5/chunk_0/gen_104.cif,Y3TiW3C8,-0.2,-0.4857,0.0,-0.1071,-0.1,1.004,3,0.0,0.533,1.0
w1p0/chunk_0/gen_97.cif,Hf2TiWC5,-0.2,-0.4875,0.0,-0.1,-0.1,1.04,3,0.0,0.556,1.0
w1p0/chunk_1/gen_117.cif,LaYWC6,-0.2,-0.475,0.0,-0.1,-0.1,1.099,3,0.0,0.667,nan
w2p5/chunk_0/gen_87.cif,LaNdYWC4,-0.2,-0.475,0.0,-0.1,-0.1,1.386,4,0.0,0.5,nan
w2p5/chunk_2/gen_85.cif,Ce2YWC2,-0.2,-0.475,0.0,-0.1,-0.1,1.04,3,0.0,0.333,0.0
w2p5/chunk_2/gen_94.cif,LaNdY4W4C9,-0.2,-0.475,0.0,-0.1,-0.1,1.194,4,0.0,0.474,1.0
w2p5/chunk_1/gen_66.cif,CeNdYWC3,-0.2,-0.475,0.0,-0.1,-0.1,1.386,4,0.0,0.429,nan
w2p5/chunk_1/gen_5.cif,CeZr2TiWC5,-0.2,-0.4875,0.0,-0.1,-0.1,1.332,4,0.0,0.5,nan
w2p5/chunk_1/gen_127.cif,CeYWC2,-0.2,-0.475,0.0,-0.1,-0.1,1.099,3,0.0,0.4,1.0
w2p5/chunk_1/gen_105.cif,Pr4Y4W4C7,-0.2,-0.475,0.0,-0.1,-0.1,1.099,3,0.0,0.368,1.0
w2p5/chunk_3/gen_84.cif,Ce3Y4W4C9,-0.2,-0.475,0.0,-0.1,-0.1,1.09,3,0.0,0.45,0.0
w2p5/chunk_3/gen_7.cif,Pr3Y4W4C7,-0.2,-0.475,0.0,-0.1,-0.1,1.09,3,0.0,0.389,1.0
w2p5/chunk_0/gen_48.cif,NdYZr2(WC2)2,-0.2,-0.47,0.0,-0.09,-0.1,1.33,4,0.0,0.4,2.0
w2p5/chunk_1/gen_26.cif,NdYZr2(WC3)2,-0.2,-0.47,0.0,-0.09,-0.1,1.33,4,0.0,0.5,0.0
w1p0/chunk_3/gen_115.cif,ZrTi2WC4,-0.2,-0.475,0.0,-0.0875,-0.1,1.04,3,0.0,0.5,3.0
w2p5/chunk_2/gen_116.cif,YZrTiW2C5,-0.2,-0.46,0.0,-0.08,-0.1,1.332,4,0.0,0.5,1.0
w2p5/chunk_2/gen_90.cif,Y2Zr(WC2)3,-0.2,-0.45,0.0,-0.075,-0.1,1.011,3,0.0,0.5,3.0
w2p5/chunk_2/gen_82.cif,Ce3Y3TiW4C9,-0.2,-0.45,0.0,-0.075,-0.1,1.295,4,0.0,0.45,1.0
w1p0/chunk_0/gen_104.cif,ZrTiWC5,-0.2,-0.45,0.0,-0.0667,-0.1,1.099,3,0.0,0.625,3.0
w1p0/chunk_2/gen_42.cif,ZrTiWC2,-0.2,-0.45,0.0,-0.0667,-0.1,1.099,3,0.0,0.4,1.0
w1p0/chunk_3/gen_64.cif,ZrTiWC3,-0.2,-0.45,0.0,-0.0667,-0.1,1.099,3,0.0,0.5,2.0
w2p5/chunk_0/gen_10.cif,HfTiWC2,-0.2,-0.45,0.0,-0.0667,-0.1,1.099,3,0.0,0.4,1.0
w2p5/chunk_1/gen_30.cif,PrZrTiWC5,-0.2,-0.45,0.0,-0.0667,-0.1,1.386,4,0.0,0.556,nan
w1p0/chunk_1/gen_36.cif,La5Y3(WC2)4,-0.2,-0.4357,0.0,-0.0643,-0.1,1.078,3,0.0,0.4,nan
w2p5/chunk_3/gen_10.cif,Nd2Y3W4C9,-0.2,-0.4357,0.0,-0.0643,-0.1,1.061,3,0.0,0.5,2.0
w2p5/chunk_2/gen_102.cif,YZrBW2C,-0.2,-0.4375,0.0,-0.0625,-0.1,1.04,3,0.0,0.167,1.0
w2p5/chunk_2/gen_124.cif,Ce3Zr3(WC2)2,-0.2,-0.44,0.0,-0.06,-0.1,1.082,3,0.0,0.333,1.0
w2p5/chunk_2/gen_100.cif,LaY2(WC2)3,-0.2,-0.42,0.0,-0.05,-0.1,1.011,3,0.0,0.5,1.0
w2p5/chunk_2/gen_42.cif,La3Y2W3C10,-0.2,-0.42,0.0,-0.05,-0.1,1.082,3,0.0,0.556,nan
w2p5/chunk_2/gen_20.cif,Ce2Y3CdWC4,0.2,-0.45,0.0,-0.05,-0.12,1.277,4,0.0,0.364,0.0
w2p5/chunk_3/gen_29.cif,CeYTiB2W2C5,-0.2,-0.425,0.0,-0.05,-0.1,1.332,4,0.0,0.417,1.0
w2p5/chunk_3/gen_32.cif,YZrNiW2C7,-0.2,-0.49,0.0,-0.05,-0.12,1.332,4,0.0,0.583,2.0
w1p0/chunk_3/gen_106.cif,La3Ce2Zr2W2C11,-0.2,-0.4,0.0,-0.025,-0.1,1.369,4,0.0,0.55,nan
w2p5/chunk_1/gen_54.cif,CeZrWC3,-0.2,-0.4,0.0,-0.025,-0.1,1.099,3,0.0,0.5,0.0
w1p0/chunk_3/gen_113.cif,La2YZrW3C8,-0.2,-0.39,0.0,-0.02,-0.1,1.277,4,0.0,0.533,1.0
w1p0/chunk_0/gen_108.cif,LaY(WC3)2,-0.2,-0.3833,0.0,-0.0167,-0.1,1.04,3,0.0,0.6,nan
w2p5/chunk_2/gen_0.cif,NdYW2C3,-0.2,-0.3833,0.0,-0.0167,-0.1,1.04,3,0.0,0.429,0.0
w2p5/chunk_3/gen_76.cif,Nd3Y(WC2)2,-0.2,-0.3833,0.0,-0.0167,-0.1,1.011,3,0.0,0.4,1.0
w2p5/chunk_3/gen_119.cif,NdY(WC2)2,-0.2,-0.3833,0.0,-0.0167,-0.1,1.04,3,0.0,0.5,0.0
w2p5/chunk_0/gen_99.cif,CeTiSiWC3,-0.2,-0.375,0.0,0.0,-0.1,1.099,3,0.0,0.429,0.0
w2p5/chunk_3/gen_38.cif,PrYZrCdC,0.2,-0.3833,0.0,0.0333,-0.1333,1.386,4,0.0,0.2,nan
w1p0/chunk_1/gen_24.cif,Zr2TiMoC4,-0.3,-0.5125,0.0,-0.1125,-0.1,1.04,3,0.0,0.5,1.0
w1p0/chunk_0/gen_42.cif,Y2Zr2VB2C5,-0.45,-0.63,0.0,-0.23,-0.09,1.055,3,0.0,0.417,1.0
