material_id,Unnamed: 0,reduced_formula,space_group,chemical_system,num_sites,energy_above_hull,dft_band_gap,dft_bulk_modulus,dft_mag_density,hhi_score,ml_bulk_modulus,mean_h_affinity,best_site_h_affinity,frac_thermoneutral_sites,d_band_proxy,valence_electron_conc,carbon_fraction,mean_co_affinity,best_site_co_affinity,frac_co_selective_sites,mean_cooh_affinity,co2rr_selectivity,metal_mixing_entropy,n_metal_species,expensive_metal_fraction,metal_cn_mean,mc_coordination,metal_packing_density,metal_percolation_dim,min_dG_H,limiting_potential_V
mp-20648,4263,V2C,Pbcn,C-V,12,0.0007290433333331,0.0,244.05539896459453,-1.2694255529119998e-05,3094.179484905662,244.2206268310547,-0.1,-0.1,0.0,-1.4,4.666666666666667,0.3333333333333333,-0.45,-0.419,0.0,-1.7395,0.9606,0.0,1,0.0,15.0,3.0,0.0607126467585101,3.0,-0.7789,-1.3206
alex<agm003287927>,4269,V3C2,P2_1/m,C-V,10,0.0777525147083348,,,-4.770752549974211e-06,3006.086089640756,232.21588134765625,-0.1,-0.1,0.0,-1.3999999999999997,4.6,0.4,-0.45,-1.9315,0.0,-0.3027,-0.6,0.0,1,0.0,16.0,4.0,0.057838988284667,3.0,-0.9027,0.3027
alex<agm003266885>,3433,Cr2C,P-31m,C-Cr,9,0.0328892614999993,,,0.0004219396286746,3727.263456344626,243.27468872070312,-0.05,-0.05,1.0,-1.1,5.333333333333333,0.3333333333333333,-0.4000000000000001,-0.8197,0.0,-0.3897,-0.2107,0.0,1,0.0,15.0,3.0,0.0673809692460608,3.0,-0.6004,0.3897
alex<agm005217809>,4271,V3C2,R-3c,C-V,10,0.0394169387083351,,,-4.617676183437439e-05,3006.086089640756,233.2952117919922,-0.1,-0.1,0.0,-1.3999999999999997,4.6,0.4,-0.45,-0.162,0.25,0.9455,-1.3587,0.0,1,0.0,16.0,4.0,0.0581705622123014,3.0,-0.4132,-0.9455
alex<agm003298269>,4272,V4C,I4_1/amd,C-V,10,0.0969961334999975,,,-2.014022273502347e-06,3238.5783543820994,192.3199157714844,-0.1,-0.1,0.0,-1.4,4.8,0.2,-0.45,-0.2661,0.0,0.345,-0.7461,0.0,1,0.0,12.0,2.0,0.0668000755920488,3.0,-0.4011,-0.345
alex<agm002139649>,4270,V3C2,Cmcm,C-V,10,0.0181906967083342,,,-4.448776820670885e-07,3006.086089640756,260.2289733886719,-0.1,-0.1,0.0,-1.3999999999999997,4.6,0.4,-0.45,-1.5938,0.0,-2.0476,1.2161,0.0,1,0.0,16.0,4.666666666666667,0.0610816038401619,3.0,-0.8315,-0.4538
alex<agm002139728>,4268,V6C5,C2/m,C-V,11,0.0033650124242434,,,-5.565975962443173e-06,2923.7791647582394,243.1207427978516,-0.1,-0.1,0.0,-1.3999999999999997,4.545454545454546,0.4545454545454545,-0.45,-0.4431,0.0,1.9154,-2.6637,0.0,1,0.0,17.0,5.0,0.0555117284694255,2.0,-0.7483,-1.9154
alex<agm003288449>,4273,V5C2,C2/c,C-V,14,0.0359113421428549,,,-1.2598160998109657e-06,3150.072346283432,225.1198883056641,-0.1,-0.1,0.0,-1.4,4.714285714285714,0.2857142857142857,-0.45,-0.6787,0.0,-1.6318,1.1543,0.0,1,0.0,14.4,3.2,0.0665512994993724,3.0,-0.4775,-0.9531
alex<agm003297013>,4274,V3C,Cmcm,C-V,8,0.0367135093749979,,,-9.149504708033612e-05,3188.691796412417,217.0915985107422,-0.1,-0.1,0.0,-1.3999999999999997,4.75,0.25,-0.45,-2.0505,0.0,-3.5911,2.7374,0.0,1,0.0,14.333333333333334,3.0,0.0689487920191549,3.0,-0.8537,-1.5406
alex<agm002140616>,21277,Ti2C,P-3m1,C-Ti,3,0.0535449974999995,,,-0.0001112917048992,1477.3789337201738,151.43560791015625,-0.25,-0.25,0.0,-1.5,4.0,0.3333333333333333,-0.55,-1.9004,0.0,-2.5904,1.5337,0.0,1,0.0,15.0,3.0,0.0499626059285082,1.0,-1.0567,-0.69
alex<agm002140618>,21275,Ti2C,Pnma,C-Ti,12,0.0223298033333332,,,0.0001769619631366,1477.3789337201738,148.20030212402344,-0.25,-0.25,0.0,-1.5,4.0,0.3333333333333333,-0.55,-1.3969,0.0,-2.4719,1.8716,0.0,1,0.0,14.0,3.0,0.0501936097595231,3.0,-0.6003,-1.075
mp-10721,21274,Ti2C,Fd-3m,C-Ti,12,0.0,0.0,138.9378923332192,-1.919569207538785e-05,1477.3789337201738,136.90756225585938,-0.25,-0.25,0.0,-1.5,4.0,0.3333333333333333,-0.55,-1.3392,0.0,-3.0554,2.4107,0.0,1,0.0,12.0,3.0,0.0496301262544432,3.0,-0.6447,-1.7162
mp-1094034,21278,Ti3C2,P6_3/mmc,C-Ti,10,0.0633281733749999,0.0,,,1442.362715245695,171.2082977294922,-0.25,-0.25,0.0,-1.5,4.0,0.4,-0.55,-1.7825,0.0,-4.146,3.0899,0.0,1,0.0,14.666666666666666,4.0,0.0483805726035797,3.0,-1.0561,-2.3635
alex<agm002140617>,21276,Ti2C,Pbcn,C-Ti,12,0.0551675558333339,,,-0.0001202416969534,1477.3789337201738,160.72496032714844,-0.25,-0.25,0.0,-1.5,4.0,0.3333333333333333,-0.55,-1.308,0.0,-1.7449,1.1908,0.0,1,0.0,15.0,3.0,0.0506736892715883,3.0,-0.5541,-0.4369
alex<agm005217375>,21279,Ti3C2,R-3c,C-Ti,10,0.0956158453749989,,,1.2555205690533838e-07,1442.362715245695,169.95364379882812,-0.25,-0.25,0.0,-1.5,4.0,0.4,-0.55,-0.4264,0.0,-3.3588,0.3729,0.0,1,0.0,16.0,4.0,0.0498882345731742,3.0,-2.9859,-2.9324
mp-1217090,21280,Ti8C5,R-3m,C-Ti,13,0.0290606250961538,0.0,,,1450.8794226499726,171.5924835205078,-0.25,-0.25,0.0,-1.5,4.0,0.3846153846153846,-0.55,-1.8203,0.0,-2.4202,1.3984,0.0,1,0.0,15.75,3.75,0.0498398892089659,3.0,-1.0218,-0.5998
alex<agm003290098>,21283,Ti4C3,C2/m,C-Ti,7,0.0838837473214297,,,-6.424187588803842e-07,1425.7789337235456,188.74981689453125,-0.25,-0.25,0.0,-1.5,4.0,0.4285714285714285,-0.55,-0.3993,0.0,-1.6856,0.6107,0.0,1,0.0,16.5,4.5,0.0493219776102169,2.0,-1.0749,-1.2862
alex<agm002139791>,21282,Ti6C5,C2/m,C-Ti,11,0.0,,,-2.757875690444314e-07,1409.7687437635975,213.76611328125,-0.25,-0.25,0.0,-1.5,4.0,0.4545454545454545,-0.55,-0.2356,0.0,-1.8219,0.5223,0.0,1,0.0,15.0,5.0,0.0488119591218927,2.0,-1.2996,-1.5862
mp-631,21281,TiC,Fm-3m,C-Ti,2,0.0,0.0,252.64467183325303,-2.179115818298764e-06,1379.354083406677,257.81268310546875,-0.25,-0.25,0.0,-1.5,4.0,0.5,-0.55,-1.184,0.0,-2.9433,1.9196,0.0,1,0.0,18.0,6.0,0.0490791848975796,,-1.0237,-1.7593
mp-1086,33831,TaC,Fm-3m,C-Ta,2,0.0,0.0,323.9362332158224,-8.525057502271965e-06,4532.346651804755,302.8522033691406,-0.15,-0.15,0.0,-1.1,4.5,0.5,-0.45,-1.3113,0.0,-1.4477,0.6548,0.0,1,0.0,18.0,6.0,0.0444244790497973,,-0.7929,-0.1363
mp-1218000,33832,Ta4C3,R3m,C-Ta,7,0.060351112857143,0.0,,3.8628828939180773e-07,4596.0868471027525,277.66845703125,-0.15,-0.15,0.0,-1.1,4.571428571428571,0.4285714285714285,-0.45,-1.5431,0.0,-1.6665,0.8168,0.0,1,0.0,15.0,4.5,0.0458502420683991,3.0,-0.8497,-0.1234
alex<agm003271690>,33834,Ta3C2,R-3m,C-Ta,5,0.0031896929999994,,,-0.0001421239703044,4617.783753254567,269.29791259765625,-0.15,-0.15,0.0,-1.1,4.6,0.4,-0.45,-1.6694,0.0,-1.8629,1.0438,0.0,1,0.0,16.0,4.0,0.0465146523949792,1.0,-0.8191,-0.1936
alex<agm003203094>,33836,Ta2C,Pnnm,C-Ta,6,0.032764888333336,,,-4.832904678295395e-07,4661.874518027852,256.6973876953125,-0.15,-0.15,0.0,-1.1,4.666666666666667,0.3333333333333333,-0.45,-1.7419,0.0,-4.2068,3.0055,0.0,1,0.0,15.0,3.0,0.0477323918843989,3.0,-1.2013,-2.4649
alex<agm003268250>,33835,Ta2C,P-31m,C-Ta,9,0.0424666622222229,,,2.444301327205229e-05,4661.874518027852,253.0672302246093,-0.15,-0.15,0.0,-1.1,4.666666666666667,0.3333333333333333,-0.45,-0.9587,0.0,-2.9982,2.0895,0.0,1,0.0,15.0,3.0,0.0476626843680118,3.0,-0.9087,-2.0395
alex<agm003163148>,33838,Ta3C,R-3m,C-Ta,4,0.0929609674999998,,,9.341950838996985e-08,4706.919697158716,249.99801635742188,-0.15,-0.15,0.0,-1.1,4.75,0.25,-0.45,-2.2939,0.0,-2.2352,1.2614,0.0,1,0.0,14.0,2.0,0.049168162355877,1.0,-0.9738,0.0587
mp-1218120,33833,Ta3C2,P-3m1,C-Ta,20,0.0215980714999997,0.0,,,4617.783753254567,270.00299072265625,-0.15,-0.15,0.0,-1.1,4.6,0.4,-0.45,-1.9819,0.0,-1.9954,1.017,0.0,1,0.0,15.0,4.0,0.0463832570745156,3.0,-0.9784,-0.0136
alex<agm002140607>,33837,Ta2C,Pnma,C-Ta,12,0.0023824483333338,,,7.744429929606578e-08,4661.874518027852,261.26519775390625,-0.15,-0.15,0.0,-1.1,4.666666666666667,0.3333333333333333,-0.45,-1.7096,0.0,-3.5304,2.3474,0.0,1,0.0,15.0,3.0,0.0476580303360404,3.0,-1.183,-1.8208
alex<agm002139790>,33839,Ta6C5,C2/m,C-Ta,11,0.0,,,-3.353074197593304e-07,4574.617387713127,273.31298828125,-0.15,-0.15,0.0,-1.1,4.545454545454546,0.4545454545454545,-0.45,-0.1377,0.25,-2.7573,1.6338,0.0,1,0.0,13.0,5.0,0.0449072437216452,2.0,-1.1235,-2.6196
mp-1215222,113238,ZrNbC2,R-3m,C-Nb-Zr,4,0.0,0.0,,8.069084082604665e-05,5124.9585470756,248.5050201416016,-0.2249999999999999,-0.15,0.0,-1.35,4.25,0.5,-0.525,-1.5474,0.0,-2.1783,1.0728,0.6931471805599453,2,0.0,6.0,6.0,0.0409452707473356,,-1.1055,-0.6309
alex<agm001414257>,113240,ZrNbC,P3m1,C-Nb-Zr,3,0.0961927444444441,,,0.0133545679187758,5408.167906488534,170.87635803222656,-0.2249999999999999,-0.15,0.0,-1.35,4.333333333333333,0.3333333333333333,-0.525,-1.7311,0.0,-2.23,1.0938,0.6931471805599453,2,0.0,6.0,3.0,0.0426126157415813,2.0,-1.1362,-0.4989
mp-1215480,113239,Zr3NbC4,R-3m,C-Nb-Zr,8,0.0026242212500005,0.0,,,3745.9368187606815,236.2955474853516,-0.2624999999999999,-0.15,0.0,-1.425,4.125,0.5,-0.5625,-0.0961,0.5,-1.2459,0.0675,0.5623351446188083,2,0.0,6.0,6.0,0.0393488928706481,,-1.1784,-1.1498
alex<agm003305487>,113241,Zr2Nb2C3,C2/m,C-Nb-Zr,7,0.0,,,8.802234042290713e-05,5262.356446265215,195.9348297119141,-0.2249999999999999,-0.15,0.0,-1.35,4.285714285714286,0.4285714285714285,-0.525,-0.2201,0.0,-1.4699,0.6441,0.6931471805599453,2,0.0,8.5,4.5,0.0409539572964965,2.0,-0.8258,-1.2498
mp-1215182,113797,ZrTiC2,R-3m,C-Ti-Zr,4,0.0634885174999997,0.0,,1.0241927316833094e-05,1997.2748852938216,217.5446929931641,-0.275,-0.25,0.0,-1.5,4.0,0.5,-0.575,-1.5624,0.0,-2.2476,1.1703,0.6931471805599453,2,0.0,6.0,6.0,0.0427102921948002,,-1.0773,-0.6852
alex<agm003607440>,113799,ZrTiC,Pmmn,C-Ti-Zr,6,0.0491712662499992,,,0.0010459222139298,2116.289558621776,137.72462463378906,-0.275,-0.25,0.0,-1.5,4.0,0.3333333333333333,-0.575,-1.4757,0.0,-4.0267,3.3274,0.6931471805599453,2,0.0,6.0,3.0,0.0432289023966916,2.0,-0.6993,-2.551
alex<agm003658289>,113798,Zr5TiC4,C2/m,C-Ti-Zr,10,0.0870759862499976,,,9.351893133973456e-05,2330.5274461632325,157.1087646484375,-0.2916666666666667,-0.25,0.0,-1.5,4.0,0.4,-0.5916666666666667,0.7455,0.0,-0.391,-0.1961,0.4505612088663046,2,0.0,6.0,4.0,0.039607645228045,2.0,-0.5871,-1.1365
mp-1215237,113409,ZrNb2VC4,R3m,C-Nb-V-Zr,8,0.0853186223263868,0.0,,0.0004832078378224,5503.8331842370735,272.00506591796875,-0.175,-0.1,0.0,-1.325,4.375,0.5,-0.4875,-1.6524,0.0,-1.7686,0.8561,1.039720770839918,3,0.0,16.5,6.0,0.0445064361829634,1.0,-0.9125,-0.1161
alex<agm003673753>,113242,Zr5NbC5,C2/m,C-Nb-Zr,11,0.0608952590909073,,,0.0001198879201811,3338.666997176133,190.5218963623047,-0.2749999999999999,-0.15,0.0,-1.45,4.090909090909091,0.4545454545454545,-0.5750000000000001,-0.8184,0.0,-2.4787,1.775,0.4505612088663046,2,0.0,5.666666666666667,5.0,0.0389710435373131,1.0,-0.7037,-1.6603
alex<agm001003626>,113800,ZrTiC,C2/m,C-Ti-Zr,6,0.0402777062500003,,,8.518375235411297e-05,2116.289558621776,126.19891357421876,-0.275,-0.25,0.0,-1.5,4.0,0.3333333333333333,-0.575,-1.0331,0.0,-3.1655,2.1514,0.6931471805599453,2,0.0,8.0,3.0,0.0434550011431009,2.0,-1.0141,-2.1324
alex<agm003304312>,113801,Zr2Ti2C3,C2/m,C-Ti-Zr,7,0.0083758903571435,,,-7.307133447426773e-06,2054.507579386157,171.560546875,-0.275,-0.25,0.0,-1.5,4.0,0.4285714285714285,-0.575,-0.62,0.0,-1.6594,0.7757,0.6931471805599453,2,0.0,8.5,4.5,0.0423356515302708,2.0,-0.8837,-1.0394
mp-1215534,114043,Zr2NbMoC4,R3m,C-Mo-Nb-Zr,8,0.0856772151562506,0.0,,4.9592568797542265e-05,4350.78125912899,260.7021484375,-0.1875,0.0,0.3333333333333333,-1.2,4.375,0.5,-0.4875,-0.2111,0.0,-0.9804,-0.1739,1.039720770839918,3,0.0,7.5,6.0,0.0417938412379888,0.0,-1.1543,-0.7693
mp-1215364,114282,Zr4WC5,R-3m,C-W-Zr,10,0.0530129020000043,0.0,,,2906.207071574001,243.1759033203125,-0.2299999999999999,0.05,0.5,-1.3,4.2,0.5,-0.52,-1.6059,0.0,-2.342,1.2167,0.5004024235381879,2,0.0,6.0,6.0,0.0398222550545171,,-1.1253,-0.7362
alex<agm002258306>,114283,Zr2W2C3,C2/m,C-W-Zr,7,0.0057445371428581,,,0.0001938690441623,3537.2671220712564,219.84559631347656,-0.125,0.05,0.5,-1.0,4.571428571428571,0.4285714285714285,-0.4,-0.0927,0.5,-1.2365,0.4617,0.6931471805599453,2,0.0,8.5,4.5,0.0428626956396746,1.0,-0.7748,-1.1438
mp-1215358,114435,Zr4MoC5,R-3m,C-Mo-Zr,10,0.0504841271250029,0.0,,5.9006039590564216e-05,2855.189728339696,237.124740600586,-0.24,0.0,0.5,-1.3199999999999998,4.2,0.5,-0.5399999999999999,-1.5734,0.0,-2.2965,1.1751,0.5004024235381879,2,0.0,6.0,6.0,0.0398205152967737,,-1.1214,-0.7231
alex<agm002202086>,114436,Zr2Mo2C3,C2/m,C-Mo-Zr,7,0.0,,,0.0001112653417605,3678.098455478493,208.737548828125,-0.15,0.0,0.5,-1.05,4.571428571428571,0.4285714285714285,-0.4499999999999999,-0.1042,0.5,-1.1974,0.5523,0.6931471805599453,2,0.0,8.5,4.5,0.0428863203976953,2.0,-0.6451,-1.0932
mp-1215219,115209,ZrTaC2,R-3m,C-Ta-Zr,4,0.0,0.0,,0.0001690445747087,3773.694406571277,243.55157470703125,-0.2249999999999999,-0.15,0.0,-1.3,4.25,0.5,-0.525,-1.6043,0.0,-2.2406,1.1265,0.6931471805599453,2,0.0,6.0,6.0,0.0412766957824345,,-1.1141,-0.6363
alex<agm003179777>,115210,ZrTaC2,P4/mmm,C-Ta-Zr,4,0.0485626200000002,,,3.330731862445599e-05,3773.694406571277,248.1042633056641,-0.2249999999999999,-0.15,0.0,-1.3,4.25,0.5,-0.525,-0.3211,0.0,-0.3338,0.6327,0.6931471805599453,2,0.0,6.0,6.0,0.0412857993485664,,0.2989,-0.0126
alex<agm003160104>,115211,ZrTaC,P3m1,C-Ta-Zr,3,0.0889974258333321,,,0.0131644893546503,3912.053912664176,181.3389129638672,-0.2249999999999999,-0.15,0.0,-1.3,4.333333333333333,0.3333333333333333,-0.525,-1.9893,0.0,-2.1228,1.1704,0.6931471805599453,2,0.0,6.0,3.0,0.0431472577456578,1.0,-0.9524,-0.1335
alex<agm003602828>,115212,ZrTaC,Pmmn,C-Ta-Zr,6,0.0813423024999995,,,3.296414034638565e-05,3912.053912664176,178.08506774902344,-0.2249999999999999,-0.15,0.0,-1.3,4.333333333333333,0.3333333333333333,-0.525,-1.2092,0.0,-4.285,3.3856,0.6931471805599453,2,0.0,6.0,3.0,0.0422806905875379,2.0,-0.8994,-3.0758
alex<agm001041638>,115213,ZrTaC,C2/m,C-Ta-Zr,6,0.0686347558333331,,,-9.733338840160957e-06,3912.053912664176,174.32479858398438,-0.2249999999999999,-0.15,0.0,-1.3,4.333333333333333,0.3333333333333333,-0.525,-1.6919,0.0,-2.4154,1.3051,0.6931471805599453,2,0.0,9.0,3.0,0.0427651091683173,2.0,-1.1103,-0.7234
alex<agm003173081>,115214,ZrTa2C,Cmmm,C-Ta-Zr,4,0.0575101468749998,,,2.143677703246105e-05,4257.488099145345,187.94415283203125,-0.1999999999999999,-0.15,0.0,-1.2333333333333334,4.5,0.25,-0.5,-1.987,0.0,-4.1163,3.0145,0.6365141682948128,2,0.0,6.0,2.0,0.0455487860524735,1.0,-1.1018,-2.1293
alex<agm003305484>,115215,Zr2Ta2C3,C2/m,C-Ta-Zr,7,0.0,,,8.496065132145733e-05,3841.442505896093,212.10794067382807,-0.2249999999999999,-0.15,0.0,-1.3,4.285714285714286,0.4285714285714285,-0.525,-0.2155,0.0,-1.5655,0.6716,0.6931471805599453,2,0.0,8.5,4.5,0.0414235083168313,2.0,-0.8939,-1.35
mp-1217822,115781,TaVC2,R-3m,C-Ta-V,4,0.0729046737152785,0.0,,-1.5783151979225215e-06,4117.691423550036,300.9601135253906,-0.125,-0.1,0.0,-1.25,4.5,0.5,-0.45,-1.1857,0.0,0.7661,-1.542,0.6931471805599453,2,0.0,18.0,6.0,0.0490159999087317,3.0,-0.7759,-0.7661
mp-1217976,115780,Ta2VC2,R-3m,C-Ta-V,5,0.0675652260000028,0.0,,-4.097056471228795e-05,4400.305233733949,266.29400634765625,-0.1333333333333333,-0.1,0.0,-1.2,4.6,0.4,-0.45,-1.7466,0.0,-1.8167,1.0107,0.6365141682948128,2,0.0,16.0,4.0,0.0498082032950159,3.0,-0.806,-0.0702
mp-1215263,115410,ZrB2Mo3C2,Amm2,B-C-Mo-Zr,8,0.0491464376562493,0.0,,-8.657413174988848e-06,4280.520448687669,275.8549194335937,-0.075,0.0,0.5,-0.825,4.5,0.25,-0.375,0.0132,0.25,-0.7036,0.823,0.5623351446188083,2,0.0,17.5,3.0,0.0448280293809564,3.0,0.1194,-0.7169
alex<agm003407172>,115784,Ta(VC)2,R-3m,C-Ta-V,5,0.0591752714583329,,,-3.5655071377924326e-05,3998.545241378034,223.7867889404297,-0.1166666666666666,-0.1,0.0,-1.3,4.6,0.4,-0.45,-1.573,0.0,-0.4922,-0.2912,0.6365141682948128,2,0.0,16.0,4.0,0.053381182819547,3.0,-0.7834,0.4922
alex<agm001414238>,115786,TaVC,P3m1,C-Ta-V,3,0.0550061737499998,,,-8.305433634848392e-05,4295.842272786463,219.74737548828125,-0.125,-0.1,0.0,-1.25,4.666666666666667,0.3333333333333333,-0.45,-2.0225,0.0,-1.687,0.6767,0.6931471805599453,2,0.0,15.0,3.0,0.0530970057933101,1.0,-1.0103,0.3355
alex<agm003305482>,115782,Ta2V2C3,C2/m,C-Ta-V,7,0.0,,,0.0001839593658578,4204.626322045104,249.7730407714844,-0.125,-0.1,0.0,-1.25,4.571428571428571,0.4285714285714285,-0.45,-0.0748,0.5,-0.8455,0.1533,0.6931471805599453,2,0.0,16.0,4.5,0.0499082640324702,3.0,-0.6922,-0.7707
alex<agm003622443>,115783,TaV2C,Cmcm,C-Ta-V,8,0.0609839504166664,,,-5.386611851945408e-06,4141.062376615945,230.5177001953125,-0.1166666666666666,-0.1,0.0,-1.3,4.75,0.25,-0.45,-2.0477,0.0,-4.0786,3.2295,0.6365141682948128,2,0.0,14.333333333333334,3.0,0.0626836134547483,3.0,-0.8491,-2.031
mp-1217169,116291,Ti4CrC5,R-3m,C-Cr-Ti,10,0.0557220862500003,0.0,,0.0013943693073922,1810.634902226428,273.4129333496094,-0.21,-0.05,0.5,-1.42,4.2,0.5,-0.52,-0.3926,0.0,-2.4889,1.4694,0.5004024235381879,2,0.0,18.0,6.0,0.0511280128799251,3.0,-1.0195,-2.0963
alex<agm003725338>,115785,TaV3C,Pnma,C-Ta-V,20,0.0490176464166651,,,-4.788147508709085e-07,4031.887488537612,222.0056610107422,-0.1125,-0.1,0.0,-1.3249999999999995,4.8,0.2,-0.45,0.1067,0.25,-2.1271,1.2757,0.5623351446188083,2,0.0,13.25,2.25,0.0648141794315567,3.0,-0.8514,-2.2338
alex<agm002139648>,116292,TiCrC2,P6_3/mmc,C-Cr-Ti,8,0.0537755593749995,,,-0.0001507244355763,2435.994091270498,264.4615783691406,-0.15,-0.05,0.5,-1.3,4.5,0.5,-0.475,-1.941,0.0,-2.6659,1.3933,0.6931471805599453,2,0.0,18.0,6.0,0.0543136437919707,3.0,-1.2726,-0.7249
mp-1216690,116874,TiWC2,R-3m,C-Ti-W,4,0.0660419149999995,0.0,,3.996052923056004e-07,3437.6702001029216,311.911376953125,-0.1,0.05,0.5,-1.0,4.5,0.5,-0.375,-0.103,0.75,-0.6686,-0.2131,0.6931471805599453,2,0.0,18.0,6.0,0.0484370052240866,3.0,-0.8817,-0.5656
mp-1217115,116873,Ti3WC4,R-3m,C-Ti-W,8,0.0256100850000002,0.0,,-1.059009346288615e-07,2781.198549711066,284.83270263671875,-0.175,0.05,0.5,-1.25,4.25,0.5,-0.4625,-0.1427,0.75,-0.9004,-0.0528,0.5623351446188083,2,0.0,18.0,6.0,0.0487497729403366,3.0,-0.9532,-0.7576
alex<agm002258297>,116876,Ti2W2C3,C2/m,C-Ti-W,7,0.0,,,-6.2684072787963006e-09,3508.3154118132065,282.2509765625,-0.1,0.05,0.5,-1.0,4.571428571428571,0.4285714285714285,-0.375,-0.161,0.25,-1.2434,0.3453,0.6931471805599453,2,0.0,16.0,4.5,0.0501472583044623,2.0,-0.8981,-1.0824
mp-1217128,116875,Ti4WC5,R-3m,C-Ti-W,10,0.0187807000000006,0.0,,-4.943818443719792e-05,2588.39504641545,279.1953125,-0.19,0.05,0.5,-1.3,4.2,0.5,-0.4800000000000001,-1.6841,0.0,-2.4333,1.3516,0.5004024235381879,2,0.0,18.0,6.0,0.0488056644419231,3.0,-1.0817,-0.7492
alex<agm003672619>,116877,Ti5WC5,C2/m,C-Ti-W,11,0.0444546481818175,,,5.876810485623622e-05,2490.487936866307,233.4229431152344,-0.1999999999999999,0.05,0.5,-1.3333333333333333,4.181818181818182,0.4545454545454545,-0.4916666666666667,-1.0579,0.0,-2.2627,1.5647,0.4505612088663046,2,0.0,16.333333333333332,5.0,0.0491071011961789,3.0,-0.698,-1.2048
